time,drag0,drag1,drag2,lift0,lift1,lift2
0.5,-0.5576802421355722,-1.0306353277391047,-1.0305489040266385,2.37982707450297e-05,0.005664307870502381,-0.0055759238772156924
1,-0.46093467690210926,-1.0233595759555119,-1.0232866368832043,1.2078593344755058e-05,0.32851536642354656,-0.32848073939029343
1.5,-0.4612018952351673,-0.940315728378018,-0.9402608435129782,6.369046050007333e-06,0.42465044791853496,-0.42462343587711265
2,-0.4920867531117089,-0.8808078656252438,-0.8807602363057366,1.6656874298456642e-06,0.3336263175379206,-0.33359581234314983
2.5,-0.5248714523982954,-0.8481263125126169,-0.8480770281578873,-3.9753013989516153e-07,0.17618734857935656,-0.17616606795036185
3,-0.5495545011033488,-0.8329005733184327,-0.8328483985932296,2.024249233789253e-06,0.023569354910217617,-0.023547913880646046
3.5,-0.5641937030587095,-0.8311616540906764,-0.8311096113131219,6.417543540676975e-06,-0.0915571142849086,0.09157192198312489
4,-0.5688645486284041,-0.8355649784376313,-0.8355051281741532,1.1268705073153766e-05,-0.15369035933842254,0.15370738834081732
4.5,-0.5636148315753764,-0.8364196279824591,-0.8363576417394482,7.429386137569117e-06,-0.1585014058335619,0.15852638020630536
5,-0.55021310877158,-0.8267671764283385,-0.8267119086757494,1.399348271875116e-05,-0.11450237494540828,0.11455663549967628
5.5,-0.5340726321586877,-0.8050211773998492,-0.8049765736667803,1.7609240278574517e-05,-0.04266707999153192,0.04275139093480014
6,-0.5199800049528073,-0.7752548610938451,-0.7752182485243633,1.369262779282439e-05,0.03241554821904638,-0.03231061426702629
6.5,-0.5095865521038809,-0.7464432722605968,-0.7463962117725504,1.2621634175035389e-05,0.0930461977577586,-0.09291851150957489
7,-0.503716957228844,-0.7251268559583666,-0.7250760218781965,1.1246588954782371e-05,0.12828700884642863,-0.12817502364270708
7.5,-0.5021664166285895,-0.7118444085699636,-0.711804668465633,7.291632860246177e-06,0.13578188072049874,-0.1357035399831888
8,-0.5036180242209892,-0.7045046653345819,-0.7044788625244005,7.384298233083664e-07,0.12122746855293703,-0.1211893431964905
8.5,-0.5064200086734651,-0.7008950470111788,-0.7008836906661314,-6.157139899815598e-06,0.09394209247864346,-0.09394807154309122
9,-0.509182095747881,-0.6994280837770759,-0.6994293054267463,-1.1591669180651732e-05,0.06319269548013173,-0.06323594683502853
9.5,-0.5109941842452609,-0.6989908664338056,-0.6990016981421413,-1.4848959667474154e-05,0.0363759812762154,-0.03644317378590903
10,-0.5114176634142261,-0.6986248943081625,-0.6986399106104947,-1.569896190759749e-05,0.018402661883233112,-0.018476107508968023
10.5,-0.5104180003398334,-0.6974615053606874,-0.6974741429389623,-1.3810998832625718e-05,0.011528411540701493,-0.011587280571233783
11,-0.5082903169505099,-0.6949154315571867,-0.694919614890693,-8.931361653211122e-06,0.015376557476201282,-0.015399585809989805
11.5,-0.5055699356666401,-0.6909486858417626,-0.6909407744564705,-1.8122569891587561e-06,0.027228689127643566,-0.027200853131165756
12,-0.5029022538995334,-0.6861502610071556,-0.686129681763591,5.753804698938774e-06,0.04274163834681999,-0.04266059178524908
12.5,-0.5008724713344439,-0.6814819770287067,-0.6814505290039268,1.181752273500048e-05,0.05710726981281763,-0.056984558934849154
13,-0.4998356516697285,-0.6778068342164912,-0.6777685148256937,1.4998993313125879e-05,0.06641311975000647,-0.06627028551312962
13.5,-0.499817888885642,-0.6755202501136869,-0.6754816894359428,1.45560135753348e-05,0.06872518613813788,-0.06858816904127077
14,-0.5005455096881135,-0.6745111434205996,-0.6744800495783797,1.0698109896331738e-05,0.06442246988835283,-0.06431463134864059
14.5,-0.5015820212478562,-0.6743697809249991,-0.6743523210145578,4.586596570711071e-06,0.05568273930322311,-0.0556189497042093
15,-0.5024900595730577,-0.6746087562601467,-0.674608222706544,-2.213402247175822e-06,0.04547656252440073,-0.04546117536481255
15.5,-0.5029525791879738,-0.6747879767001103,-0.6748050246182983,-8.653128389921158e-06,0.03657418872150315,-0.0366032237043273
16,-0.5028313126937953,-0.6745742137339769,-0.6746072252299766,-1.4073026985085796e-05,0.030888615991904525,-0.030952172587950626
16.5,-0.502163940645724,-0.6737764462629255,-0.6738219445724466,-1.7968689205918398e-05,0.02921811075376988,-0.02930228959389343
17,-0.5011190978381344,-0.6723716692783579,-0.6724249561355411,-1.986364962341746e-05,0.03130100562868193,-0.03138971376472077
17.5,-0.4999340143647251,-0.6705102772683025,-0.6705662357286626,-1.9562611946657613e-05,0.03606716086660418,-0.03614464146955916
18,-0.4988518881554752,-0.6684786790713106,-0.6685325899765419,-1.72389680944433e-05,0.04199409356473125,-0.0420475784342136
18.5,-0.4980683448085775,-0.6666153042680154,-0.6666636856897523,-1.3424836948438125e-05,0.047497695358999836,-0.04751969709414314
19,-0.49769262747910314,-0.6652063634316824,-0.6652477105882945,-8.994730819691888e-06,0.051297840790879824,-0.05128769498574954
19.5,-0.4977284492060294,-0.664402418511844,-0.6644375103659405,-4.954083179652667e-06,0.05269542074824743,-0.05265928478626881
20,-0.49807988692057253,-0.6641874964207135,-0.6642190526075301,-2.0886265212008838e-06,0.05169238968732175,-0.05164140588038508
20.5,-0.4985838536706166,-0.6644062621015113,-0.6644381537728543,-8.250209640978416e-07,0.048913416375780484,-0.04886102597084646
21,-0.4990604668760687,-0.6648283216964881,-0.6648647096904131,-1.3352567018834775e-06,0.04535687907980816,-0.04531643846748429
21.5,-0.49936352451500954,-0.6652187111378984,-0.665263295384577,-3.4909751359439795e-06,0.042071927457859065,-0.04205461196872253
22,-0.49941394466875666,-0.665392396769088,-0.6654479076598172,-6.869963990754414e-06,0.0398750449298635,-0.039888246784222564
22.5,-0.4992088960220052,-0.6652463259094896,-0.6653143146865388,-1.0915202696980416e-05,0.03918153853651894,-0.03922808695310047
23,-0.49880989081911586,-0.6647711256889515,-0.6648519847428703,-1.5045061329100858e-05,0.03997121524569488,-0.04004928053519516
23.5,-0.498318104150029,-0.6640440345183724,-0.6641371172851159,-1.8686885144788266e-05,0.04186550184058478,-0.041968978925044254
24,-0.49784535161619614,-0.6632037138241581,-0.6633074833240077,-2.130852826025926e-05,0.04427360896895552,-0.0443929527840195
24.5,-0.4974874717285983,-0.6624114714365654,-0.6625236950141692,-2.2498018372098358e-05,0.04656202257407748,-0.04668560182330523
25,-0.49730488772350046,-0.6618091413450061,-0.6619271797777246,-2.203976274532996e-05,0.04820762654488212,-0.04832349606326268
25.5,-0.4973131006622876,-0.6614857511717709,-0.6616069590138483,-1.9974107436387934e-05,0.04890528220833732,-0.049003167415519404
26,-0.49748387202691935,-0.661461413599502,-0.6615836083911203,-1.671203546535678e-05,0.0486130992550213,-0.048686453448456075
26.5,-0.4977560004559015,-0.6616903936553549,-0.6618122595357437,-1.2989793734374919e-05,0.04753223335191333,-0.0475797196627412
27,-0.4980528010350111,-0.6620795513177322,-0.662200835345158,-9.556361621161267e-06,0.04603153559512069,-0.046057152351168765
27.5,-0.49830171493357245,-0.6625149564286305,-0.6626364328404076,-6.966605995944032e-06,0.044539146399014434,-0.044551199551080056
28,-0.49845100663910635,-0.662889369843177,-0.6630126294809396,-5.616703433578376e-06,0.04343042017445208,-0.043439965633606
28.5,-0.4984796727686839,-0.6631250882833696,-0.6632522012286053,-5.662526778087054e-06,0.042941021571403074,-0.04295971395514332
29,-0.49839876947592326,-0.6631881179542523,-0.6633212645898537,-6.948429421702843e-06,0.043124655070146484,-0.043162342554101125
29.5,-0.49824480058264864,-0.663091276027727,-0.6632324128195433,-9.064124964574746e-06,0.043861125891123044,-0.043923830178437255
30,-0.4980678428732616,-0.6628861804138704,-0.6630367538873109,-1.1428982470981482e-05,0.044906641079058174,-0.04499530062804373
30.5,-0.4979180135247187,-0.6626467237554405,-0.6628074532097563,-1.3410205954706355e-05,0.04596835102901278,-0.04607861299665647
31,-0.497833706067352,-0.6624488354947667,-0.6626196086378077,-1.4472927362779904e-05,0.04678163536867121,-0.04690480821400099
31.5,-0.49783406207176767,-0.6623520926137807,-0.6625320205997757,-1.4354268132188007e-05,0.047171096765735755,-0.04729615135163317
32,-0.4979168150754016,-0.6623876400734818,-0.6625752519059379,-1.3070206316419578e-05,0.04708300137872509,-0.047198924439800456
32.5,-0.4980613205797225,-0.6625545035067021,-0.6627480381290013,-1.0750020273460337e-05,0.04658504745304455,-0.04668282067034037
33,-0.49823543534670994,-0.6628237145557812,-0.6630215239380325,-7.837820388941256e-06,0.04583689599225985,-0.04591157974142838
33.5,-0.4984042154049313,-0.6631480393729225,-0.6633489524858553,-5.038468344882585e-06,0.045042293465366985,-0.045094330982703545
34,-0.49853828359053914,-0.6634744479809317,-0.6636779870514202,-3.0176180904131224e-06,0.044395915144074885,-0.04443094802758075
34.5,-0.4986200220511262,-0.6637564733948235,-0.6639629082652334,-2.226376558469006e-06,0.04403754993966098,-0.04406504483787661
35,-0.4986463929955526,-0.6639639549361719,-0.6641742170626391,-2.865013534440882e-06,0.04402371017191298,-0.04405490401684841
35.5,-0.49862804303266217,-0.664088230153781,-0.6643037160265949,-4.906054380380621e-06,0.04432189615080127,-0.04436751599035536
36,-0.49858525990304636,-0.6641418681991325,-0.664364154584951,-8.041529336263108e-06,0.044826967803637686,-0.04489495411323668
36.5,-0.4985420452348998,-0.6641533170836696,-0.6643838480326747,-1.17438577833831e-05,0.04539349945551266,-0.045487354269021264
37,-0.4985199057084412,-0.6641581655478899,-0.664397969063968,-1.5408018215742783e-05,0.045874843309363124,-0.04599302975875076
37.5,-0.4985328896086697,-0.6641895601190322,-0.6644390500062947,-1.8480509257340968e-05,0.046158840180754716,-0.04629529260219855
38,-0.4985849496266074,-0.6642703357072213,-0.6645292503462699,-2.0554044617525488e-05,0.046191785511803515,-0.04633736977257325
38.5,-0.4986700369470352,-0.6644086512509451,-0.6646761566417516,-2.1440785163448538e-05,0.045985925082655726,-0.04613053790063874
39,-0.498774616153542,-0.6645977350759311,-0.6648726697937082,-2.1228197063299415e-05,0.045610268365008706,-0.04574515032650736
39.5,-0.49888172117273444,-0.6648192032364022,-0.6651003858935569,-2.024448640385577e-05,0.045168659197112854,-0.04528833191055954
40,-0.49897540906274557,-0.6650486858062032,-0.6653352031929884,-1.8953404302233883e-05,0.04477160078664379,-0.04487498272085239
